Version,Loss,RMSE,MAE,R2
A,MSE only,4.984732014178277,2.6475512981414795,0.832988440990448
B,MSE + Monotonic,5.139666528831213,2.8541862964630127,0.8224450349807739
C,MSE + Monotonic + Spatial,5.427172093266588,3.2163825035095215,0.8020251393318176
