Horizon,Model,RMSE,MAE,R2
3m,Naive,5.923101051654887,2.5567588806152344,0.7165603637695312
3m,LSTM,3.196354404694153,1.4482070207595825,0.9174585342407227
3m,Transformer,3.1709501675215246,1.3883018493652344,0.9187653660774231
6m,Naive,5.842919275324535,2.4430325031280518,0.725650429725647
6m,LSTM,3.488971500943998,1.645040512084961,0.9021773338317871
6m,Transformer,3.5284515364903806,1.649958610534668,0.8999509811401367
12m,Naive,5.973661788413662,2.4172699451446533,0.7136739492416382
12m,LSTM,3.8890990669735293,1.915726900100708,0.8786394596099854
12m,Transformer,4.00952611506128,1.9178937673568726,0.8710071444511414
