Model,RMSE,MAE,R2
Original Linear Regression,10.1542,6.6168,0.307
Original Random Forest,4.4958,2.3202,0.8641
Original XGBoost,6.4299,3.8525,0.7221
Tuned XGBoost,5.767372061623261,3.412575841401875,0.7764272887300249
Random Forest + new features,3.823549789259067,1.8724703471041684,0.9017355665306286
Tuned XGBoost + new features,4.000870626201858,2.138862511469431,0.8924100090138481
Stacking Ensemble,3.7749888280154167,1.9082739836625064,0.9042157294194498
