Version,Loss,RMSE,MAE,R2
A,MSE only,4.984732014178277,2.6475512981414795,0.832988440990448
B,MSE + corrected Monotonic,5.008803818491863,2.62170672416687,0.831371545791626
C,MSE + corrected Mono + Spatial,5.166664841354212,2.824972152709961,0.8205747604370117
